# Time forceX forceY forceZ
0 0 0 0 0
0.5 1.54375074348 -1.97727320505 1.02061648344e-16 -1.97509349064
1 2.97881725269 -3.88992826094 5.06617152166e-16 -3.88154530284
1.5 4.24492085602 -5.74527180398 5.58621466343e-16 -5.72759101582
2 5.37471674765 -7.53282493249 7.37881506059e-16 -7.50340976756
2.5 6.35996180791 -9.24820786995 8.03292339066e-16 -9.205355932
3 7.22707671625 -10.8899948878 9.49877999248e-16 -10.8324491797
3.5 7.95152351836 -12.4725441922 1.02567896589e-15 -12.3995979033
4 8.55278531258 -13.9124267243 1.23792717959e-15 -13.8243449565
4.5 8.99585924637 -15.2096940873 1.1952959292e-15 -15.1075648382
5 9.32936173721 -16.3524746657 1.2646064498e-15 -16.2387036372
5.5 9.56118494349 -17.4010996046 1.32841909975e-15 -17.2763747072
6 9.71173762187 -18.3516989412 1.20212373714e-15 -18.2165973345
6.5 9.81506523122 -19.2558132224 1.07419843728e-15 -19.1112712045
7 9.86722761321 -20.0925925668 1.04879167505e-15 -19.9389867646
7.5 9.8597210357 -20.8837349742 1.08230167878e-15 -20.7211867659
8 9.82258599922 -21.6248554225 1.04670240142e-15 -21.4538175654
8.5 9.75096665379 -22.3067072745 1.14803170883e-15 -22.1284379928
9 9.65782527595 -22.9852024834 1.18234691647e-15 -22.7996446351
9.5 9.56013078344 -23.6207007817 1.1927937211e-15 -23.4286055144
10 9.44272278227 -24.2222088033 1.16384609084e-15 -24.0242389939
10.5 9.29440302088 -24.8066859993 1.13257180845e-15 -24.6031227713
11 9.14534423688 -25.3402905929 1.10882527144e-15 -25.1319667147
11.5 9.00856449915 -25.8686806219 1.11250800477e-15 -25.6551868514
12 8.86797966352 -26.3907446785 1.03480419695e-15 -26.171965611
12.5 8.72322536743 -26.9056628275 1.07559214574e-15 -26.6814581196
13 8.5762939759 -27.4700318019 9.9222251395e-16 -27.2375709055
13.5 8.43527315176 -28.0314754417 1.00587968343e-15 -27.7893390315
14 8.28454834967 -28.6578228219 8.95943243307e-16 -28.402788267
14.5 8.12068215019 -29.3446896079 9.19517541508e-16 -29.0745222671
15 7.9317764812 -30.0897379085 1.07305430386e-15 -29.8022323156
15.5 7.65683526063 -30.9521391648 1.09995905311e-15 -30.6421816969
16 7.34537022116 -31.9025940916 9.18364483281e-16 -31.5676541716
16.5 6.89762426271 -32.952603944 9.60369926189e-16 -32.5895426018
17 6.17440715731 -34.1668711011 8.24104226585e-16 -33.7725073588
17.5 5.08706609603 -35.409612426 4.82344399249e-16 -34.9858515419
18 3.0275966223 -36.2343444679 4.45632813373e-16 -35.792049211
18.5 0.0504140759399 -35.178278115 8.1720182387e-16 -34.7623005926
19 -1.80225488875 -33.6118095028 1.19197360356e-15 -33.2255204841
19.5 -3.0555371837 -32.2650058178 5.92920599868e-16 -31.8992012596
20 -4.03673034855 -31.080093754 6.13494390172e-16 -30.7300998953
20.5 -4.90708421204 -29.8742926952 6.33771509598e-16 -29.5444526
21 -5.66999018405 -28.6727807626 5.85123655114e-16 -28.3665274924
21.5 -6.30932296594 -27.4545038843 7.02298157349e-16 -27.1735028116
22 -6.82007965167 -26.2095653729 6.23185435592e-16 -25.955042329
22.5 -7.21660332908 -24.9020512431 8.20925826917e-16 -24.6742172094
23 -7.5443635227 -23.514568253 7.94855109504e-16 -23.3137740462
23.5 -7.71620509577 -22.0938597916 8.66711829789e-16 -21.918791982
24 -7.76727199696 -20.6049044547 9.34491692046e-16 -20.4545013717
24.5 -7.74927892557 -19.0148462511 9.06437790634e-16 -18.8883447971
25 -7.58924250944 -17.3556333588 9.03316731016e-16 -17.2518
25.5 -7.27526560422 -15.6158950676 1.15540075817e-15 -15.5334794533
26 -6.8162850645 -13.7869561609 1.17766581856e-15 -13.7247729686
26.5 -6.26296337913 -11.8200868077 8.85453478085e-16 -11.7768872422
27 -5.4939623664 -9.77824514595 4.38738872948e-16 -9.75226081679
27.5 -4.51824277499 -7.64334881865 5.07861451124e-16 -7.63231967836
28 -3.34080734271 -5.41179960895 7.03972100932e-16 -5.41276336917
28.5 -1.97250827331 -3.09907709471 6.29887824314e-16 -3.10813610855
29 -0.454631665 -0.646300516101 4.98596773157e-16 -0.658893138899
29.5 0.00125102240931 -1.32402326166e-05 5.12703172465e-16 -0.0124515563104
30 -0.000121288288677 -2.69321775953e-05 5.13155628248e-16 -0.0124595672456
30.5 -0.000300199128604 -6.17371848866e-07 5.10996202707e-16 -0.0124533438967
31 -0.000279461583572 7.4049416724e-06 5.20511111422e-16 -0.0124688226845
31.5 -0.000269258016183 9.35992964274e-06 5.21076460023e-16 -0.0124899227812
